Symbol	Description
ARSLF.OB	Altima Resources Ltd
ARSN.OB	Aureus Inc
ARST.OB	Arista Financial Corp
ARTH.OB	Arch Therapeutics Inc
ARTM.OB	American Nortel Comm
ARTNB.OB	Artesian Resources Corp Cl B
ARTR.OB	Airtrona International Inc
ARTTF.OB	Artemis Resources Ltd
ARUXF.OB	Acrux Ltd Ord
ARVY.OB	Alliance Recovery
ARWD.OB	Arrow Resources Dev
ARWGF.OB	Arrow Global Group Plc
ARXRF.OB	Alix Res Corp
ARYC.OB	Arrayit Corp
ARYMF.OB	Argosy Minerl UT Cda
ARYX.OB	Aryx Therapeutics
ARZGF.OB	Assicurazioni Genera
ARZGY.OB	Assicurazioni Genera
ARZTF.OB	Aryzta Ag
ARZTY.OB	Aryzta Ag ADR
ASAGF.OB	Australian Agricultu
ASASF.OB	Asia Standard Intl Gp Ord
ASAZF.OB	Assa Abloy Ser B SEK
ASAZY.OB	Assa Abloy Ab
ASBFY.OB	Associated Brit Food
ASBRF.OB	Asahi Breweries
ASCC.OB	Aristocrat Group
ASCCF.OB	Asics Corp
ASCCY.OB	Asics Corp
ASCJF.OB	American Shipping CO
ASCK.OB	Auscrete Corp
ASCLF.OB	Ascletis Pharma Inc
ASCN.OB	Absecon Bancorp
ASCS.OB	Amer Crystal Sugar Pfd
ASDN.OB	Astro Aerospace Ltd
ASDZF.OB	Arctic Star Exploration Corp
ASEJF.OB	Apt Satellite Hlds
ASEKY.OB	Aisin Seiko CO Ltd
ASFX.OB	American Scientf
ASFZ.OB	Assoc First Cap Corp
ASGLY.OB	Asahi Glass CO Ltd A
ASGOF.OB	Asante Gold Corp
ASGTF.OB	Altus Group Ltd
ASGXF.OB	Asia Global Crossing Ltd
ASHTF.OB	Ashted Group Plc
ASHTY.OB	Ashtead Group Pl ADR
ASHXF.OB	Ashburton Ventures Inc
ASKDF.OB	First Energy Metals Ltd
ASKE.OB	Alaska Pacific Energy Corp
ASKH.OB	Astika Holdings
ASLEF.OB	Asaleo Care Ltd
ASLM.OB	American Silver Mini
ASLRF.OB	Arian Silver Copr
ASMIY.OB	Asm International NV
ASMLF.OB	Asml Hld NV Ord Shs
ASMVF.OB	Asm Pacific Technology Ltd
ASMVY.OB	Asm Pacific Technology Ltd
ASNB.OB	Advansource Biomaterials Corpora
ASNT.OB	Arias Intel Corp
ASOMY.OB	Asos Pls ADR
ASOZY.OB	Asseco Poland Sa ADR
ASPCF.OB	Acerus Pharmaceuticals Corp
ASPT.OB	Haber Inc
ASPW.OB	Arista Power Inc
ASPZ.OB	Asia Pptys Inc
ASRAF.OB	A S Roma Spa Roma
ASRMF.OB	Southeast Airport Group
ASTI.OB	Ascent Solar Technologies
ASTO.OB	Astro Communications Inc
ASTVF.OB	Austevoll Seafood ASA Ord
ASWRF.OB	Gungnir Resources Inc
ASXFF.OB	ASX Ltd
ASXFY.OB	ASX Ltd
